Point ID,X,Z,U/Uref,k/Uref2
1,-0.072,0.005,-0.281,0.0113
2,-0.072,0.0205,-0.0323,0
3,-0.072,0.0355,0.146,0.00512
4,-0.072,0.05,0.191,0.0099
5,-0.072,0.065,0.229,0.0113
6,-0.072,0.08,0.249,0.0123
7,-0.072,0.095,0.27,0.0099
8,-0.072,0.11,0.332,0.0088
9,-0.072,0.125,0.425,0.00881
10,-0.072,0.14,0.585,0.0116
11,-0.072,0.155,0.664,0.0151
12,-0.072,0.17,0.725,0.0151
13,-0.072,0.185,0.762,0.0153
14,-0.072,0.2,0.794,0.0149
15,-0.072,0.215,0.802,0.0163
16,-0.04,0.13,-0.169,0.0425
17,-0.04,0.14,0.824,0.0234
18,-0.04,0.15,0.813,0.016
19,-0.04,0.16,0.835,0.0174
20,-0.04,0.17,0.805,0.0148
21,-0.04,0.18,0.841,0.0171
22,-0.04,0.19,0.822,0.016
23,-0.04,0.2,0.839,0.0174
24,-0.04,0.21,0.862,0.0174
25,-0.04,0.22,0.83,0.016
26,0,0.13,-0.25,0.0602
27,0,0.14,0.324,0.146
28,0,0.15,0.788,0.0784
29,0,0.16,0.924,0.0347
30,0,0.17,0.889,0.0196
31,0,0.18,0.907,0.0173
32,0,0.19,0.897,0.0162
33,0,0.2,0.889,0.0188
34,0,0.21,0.879,0.017
35,0,0.22,0.869,0.0199
36,0.04,0.13,0.126,0.0782
37,0.04,0.14,0.305,0.109
38,0.04,0.15,0.592,0.0881
39,0.04,0.16,0.784,0.0517
40,0.04,0.17,0.842,0.0282
41,0.04,0.18,0.898,0.0198
42,0.04,0.19,0.887,0.0169
43,0.04,0.2,0.862,0.0172
44,0.04,0.21,0.882,0.0172
45,0.04,0.22,0.894,0.0145
46,0.105,0.005,-0.213,0.00838
47,0.105,0.0205,-0.226,0.012
48,0.105,0.035,-0.213,0.0142
49,0.105,0.05,-0.213,0.0156
50,0.105,0.065,-0.207,0.0182
51,0.105,0.08,-0.186,0.0218
52,0.105,0.095,-0.13,0.0316
53,0.105,0.11,0.0439,0.0634
54,0.105,0.125,0.339,0.0707
55,0.105,0.14,0.521,0.067
56,0.105,0.155,0.705,0.0573
57,0.105,0.17,0.826,0.0388
58,0.105,0.185,0.864,0.0229
59,0.105,0.2,0.891,0.0179
60,0.105,0.215,0.893,0.0182
61,0.105,0.23,0.891,0.017
62,0.3,0.0055,0.118,0.0128
63,0.3,0.0255,0.202,0.031
64,0.3,0.0455,0.246,0.0395
65,0.3,0.0655,0.294,0.0447
66,0.3,0.0855,0.348,0.0458
67,0.3,0.105,0.43,0.0472
68,0.3,0.125,0.522,0.0413
69,0.3,0.145,0.624,0.035
70,0.3,0.165,0.716,0.0287
71,0.3,0.185,0.779,0.0211
72,0.3,0.205,0.818,0.0174
73,0.3,0.225,0.825,0.0159
